Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PREDICTED: transforming protein RhoA-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,359,359,100%,3e-126,89.12,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002741600.1?report=genbank&log$=prottop&blast_rank=1&RID=0CKWMWR3013"",""XP_002741600.1"")"
PREDICTED: ras-like GTP-binding protein RHO isoform X5 [Octopus bimaculoides],Octopus bimaculoides,357,357,100%,2e-125,88.60,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768529.1?report=genbank&log$=prottop&blast_rank=2&RID=0CKWMWR3013"",""XP_014768529.1"")"
PREDICTED: ras-like GTP-binding protein RHO isoform X2 [Octopus bimaculoides],Octopus bimaculoides,358,358,100%,4e-125,88.60,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768504.1?report=genbank&log$=prottop&blast_rank=3&RID=0CKWMWR3013"",""XP_014768504.1"")"
RHOA [Branchiostoma lanceolatum],Branchiostoma lanceolatum,351,351,100%,6e-123,87.05,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1246701.1?report=genbank&log$=prottop&blast_rank=4&RID=0CKWMWR3013"",""CAH1246701.1"")"
rho-related GTP-binding protein RhoA-C [Branchiostoma floridae],Branchiostoma floridae,351,351,100%,9e-123,87.05,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035669252.1?report=genbank&log$=prottop&blast_rank=5&RID=0CKWMWR3013"",""XP_035669252.1"")"
PREDICTED: ras-like GTP-binding protein RHO isoform X4 [Octopus bimaculoides],Octopus bimaculoides,346,346,100%,6e-121,85.49,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768521.1?report=genbank&log$=prottop&blast_rank=6&RID=0CKWMWR3013"",""XP_014768521.1"")"
PREDICTED: ras-like GTP-binding protein RHO isoform X1 [Octopus bimaculoides],Octopus bimaculoides,347,347,100%,9e-121,85.49,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768488.1?report=genbank&log$=prottop&blast_rank=7&RID=0CKWMWR3013"",""XP_014768488.1"")"
PREDICTED: ras-like GTP-binding protein RHO isoform X3 [Octopus bimaculoides],Octopus bimaculoides,346,346,100%,1e-120,85.49,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014768513.1?report=genbank&log$=prottop&blast_rank=8&RID=0CKWMWR3013"",""XP_014768513.1"")"
RhoA protein [Ciona intestinalis],Ciona intestinalis,345,345,98%,2e-120,85.79,193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001027690.1?report=genbank&log$=prottop&blast_rank=9&RID=0CKWMWR3013"",""NP_001027690.1"")"
PREDICTED: ras-like GTP-binding protein Rho1 [Hydra vulgaris],Hydra vulgaris,344,344,93%,3e-120,91.11,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012555672.1?report=genbank&log$=prottop&blast_rank=10&RID=0CKWMWR3013"",""XP_012555672.1"")"
