Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
PTGS2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,624,624,78%,0.0,57.44,811,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272830.1?report=genbank&log$=prottop&blast_rank=1&RID=6MS8YE2P01R"",""CAH1272830.1"")"
prostaglandin G/H synthase 2-like [Branchiostoma floridae],Branchiostoma floridae,619,619,76%,0.0,57.96,710,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035685091.1?report=genbank&log$=prottop&blast_rank=2&RID=6MS8YE2P01R"",""XP_035685091.1"")"
LOW QUALITY PROTEIN: prostaglandin G/H synthase 2-like [Branchiostoma floridae],Branchiostoma floridae,580,580,78%,0.0,53.74,652,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035693456.1?report=genbank&log$=prottop&blast_rank=3&RID=6MS8YE2P01R"",""XP_035693456.1"")"
prostaglandin G/H synthase 2 [Octopus vulgaris],Octopus vulgaris,536,536,75%,0.0,50.27,612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QHX41555.1?report=genbank&log$=prottop&blast_rank=4&RID=6MS8YE2P01R"",""QHX41555.1"")"
prostaglandin G/H synthase 2-like [Ciona intestinalis],Ciona intestinalis,516,516,75%,8e-173,48.38,623,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002123273.1?report=genbank&log$=prottop&blast_rank=5&RID=6MS8YE2P01R"",""XP_002123273.1"")"
prostaglandin G/H synthase 2 isoform X1 [Ciona intestinalis],Ciona intestinalis,512,512,75%,7e-171,46.82,653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002127674.1?report=genbank&log$=prottop&blast_rank=6&RID=6MS8YE2P01R"",""XP_002127674.1"")"
PTGS2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,501,501,66%,5e-169,53.56,498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1263434.1?report=genbank&log$=prottop&blast_rank=7&RID=6MS8YE2P01R"",""CAH1263434.1"")"
PREDICTED: prostaglandin G/H synthase 2-like [Priapulus caudatus],Priapulus caudatus,446,501,54%,4e-148,56.75,466,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668726.1?report=genbank&log$=prottop&blast_rank=8&RID=6MS8YE2P01R"",""XP_014668726.1"")"
prostaglandin G/H synthase 2 isoform X2 [Ciona intestinalis],Ciona intestinalis,446,446,75%,4e-146,43.38,605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026689600.1?report=genbank&log$=prottop&blast_rank=9&RID=6MS8YE2P01R"",""XP_026689600.1"")"
PREDICTED: prostaglandin G/H synthase 2-like [Priapulus caudatus],Priapulus caudatus,249,249,27%,4e-75,56.57,253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014673630.1?report=genbank&log$=prottop&blast_rank=10&RID=6MS8YE2P01R"",""XP_014673630.1"")"
cyclooxygenase-c [Branchiostoma lanceolatum],Branchiostoma lanceolatum,238,238,23%,1e-71,64.74,177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACH73270.1?report=genbank&log$=prottop&blast_rank=11&RID=6MS8YE2P01R"",""ACH73270.1"")"
cyclooxygenase-d [Branchiostoma lanceolatum],Branchiostoma lanceolatum,225,225,23%,5e-67,59.88,177,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACH73271.1?report=genbank&log$=prottop&blast_rank=12&RID=6MS8YE2P01R"",""ACH73271.1"")"
prostaglandin G/H synthase 1-like [Branchiostoma floridae],Branchiostoma floridae,159,159,18%,3e-41,53.73,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035664502.1?report=genbank&log$=prottop&blast_rank=13&RID=6MS8YE2P01R"",""XP_035664502.1"")"
Peroxidase A from Dictyostelium discoideum (DdPoxA) [Dictyostelium discoideum],Dictyostelium discoideum,101,101,41%,7e-20,27.08,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/6ERC_A?report=genbank&log$=prottop&blast_rank=14&RID=6MS8YE2P01R"",""6ERC_A"")"
hypothetical protein DDB_G0277275 [Dictyostelium discoideum AX4],Dictyostelium discoideum AX4,100,100,41%,2e-19,27.08,531,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_642775.1?report=genbank&log$=prottop&blast_rank=15&RID=6MS8YE2P01R"",""XP_642775.1"")"
PTGS2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,93.6,93.6,48%,4e-17,23.56,601,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249586.1?report=genbank&log$=prottop&blast_rank=16&RID=6MS8YE2P01R"",""CAH1249586.1"")"
alpha-dioxygenase 2-like [Acropora millepora],Acropora millepora,92.8,92.8,43%,9e-17,24.07,707,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029203760.2?report=genbank&log$=prottop&blast_rank=17&RID=6MS8YE2P01R"",""XP_029203760.2"")"
alpha-dioxygenase 2-like [Branchiostoma floridae],Branchiostoma floridae,88.2,88.2,48%,2e-15,23.36,601,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661121.1?report=genbank&log$=prottop&blast_rank=18&RID=6MS8YE2P01R"",""XP_035661121.1"")"
ShK domain and PerOxidase domain containing protein [Caenorhabditis elegans],Caenorhabditis elegans,87.8,87.8,40%,3e-15,23.34,729,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_494540.1?report=genbank&log$=prottop&blast_rank=19&RID=6MS8YE2P01R"",""NP_494540.1"")"
LOW QUALITY PROTEIN: alpha-dioxygenase 2-like [Acropora millepora],Acropora millepora,86.3,86.3,48%,1e-14,23.11,713,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029203804.2?report=genbank&log$=prottop&blast_rank=20&RID=6MS8YE2P01R"",""XP_029203804.2"")"
Uncharacterized protein CELE_T06D8.10 [Caenorhabditis elegans],Caenorhabditis elegans,85.5,166,47%,3e-14,25.00,1490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_496407.1?report=genbank&log$=prottop&blast_rank=21&RID=6MS8YE2P01R"",""NP_496407.1"")"
PREDICTED: peroxidasin homolog [Saccoglossus kowalevskii],Saccoglossus kowalevskii,85.1,85.1,41%,3e-14,24.35,831,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002735321.1?report=genbank&log$=prottop&blast_rank=22&RID=6MS8YE2P01R"",""XP_002735321.1"")"
uncharacterized protein LOC100214132 isoform X2 [Hydra vulgaris],Hydra vulgaris,84.0,84.0,40%,6e-14,24.44,1072,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047133353.1?report=genbank&log$=prottop&blast_rank=23&RID=6MS8YE2P01R"",""XP_047133353.1"")"
hypothetical protein HYE67_004861 [Fusarium culmorum],Fusarium culmorum,84.0,84.0,39%,7e-14,24.86,1105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QPC62630.1?report=genbank&log$=prottop&blast_rank=24&RID=6MS8YE2P01R"",""QPC62630.1"")"
Linoleate 10R-lipoxygenase [Fusarium culmorum],Fusarium culmorum,84.0,84.0,39%,7e-14,24.86,1105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PTD08603.1?report=genbank&log$=prottop&blast_rank=25&RID=6MS8YE2P01R"",""PTD08603.1"")"
uncharacterized protein LOC100214132 isoform X1 [Hydra vulgaris],Hydra vulgaris,84.0,84.0,40%,8e-14,24.44,1378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047133250.1?report=genbank&log$=prottop&blast_rank=26&RID=6MS8YE2P01R"",""XP_047133250.1"")"
hypothetical protein AN1967.2 [Aspergillus nidulans FGSC A4],Aspergillus nidulans FGSC A4,83.2,83.2,40%,1e-13,22.74,1081,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_659571.1?report=genbank&log$=prottop&blast_rank=27&RID=6MS8YE2P01R"",""XP_659571.1"")"
Uncharacterized protein CELE_C46A5.4 [Caenorhabditis elegans],Caenorhabditis elegans,82.4,158,51%,2e-13,24.48,1537,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_501272.2?report=genbank&log$=prottop&blast_rank=28&RID=6MS8YE2P01R"",""NP_501272.2"")"
thyroid peroxidase-like [Branchiostoma floridae],Branchiostoma floridae,81.3,81.3,41%,4e-13,22.45,1038,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660807.1?report=genbank&log$=prottop&blast_rank=29&RID=6MS8YE2P01R"",""XP_035660807.1"")"
