Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cytosolic phospholipase A2-like [Acropora millepora],Acropora millepora,186,186,91%,3e-48,29.98,745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185280.2?report=genbank&log$=prottop&blast_rank=1&RID=0MV5UHCW016"",""XP_029185280.2"")"
PREDICTED: cytosolic phospholipase A2-like [Priapulus caudatus],Priapulus caudatus,171,171,83%,1e-42,28.34,896,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014668727.1?report=genbank&log$=prottop&blast_rank=2&RID=0MV5UHCW016"",""XP_014668727.1"")"
PLA2G4A [Branchiostoma lanceolatum],Branchiostoma lanceolatum,170,170,83%,1e-42,29.30,785,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1272832.1?report=genbank&log$=prottop&blast_rank=3&RID=0MV5UHCW016"",""CAH1272832.1"")"
cytosolic phospholipase A2-like [Branchiostoma floridae],Branchiostoma floridae,163,163,83%,3e-40,27.76,767,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035685090.1?report=genbank&log$=prottop&blast_rank=4&RID=0MV5UHCW016"",""XP_035685090.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X5 [Priapulus caudatus],Priapulus caudatus,163,163,83%,3e-40,26.09,826,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670507.1?report=genbank&log$=prottop&blast_rank=5&RID=0MV5UHCW016"",""XP_014670507.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Priapulus caudatus],Priapulus caudatus,160,160,83%,3e-39,26.35,832,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670504.1?report=genbank&log$=prottop&blast_rank=6&RID=0MV5UHCW016"",""XP_014670504.1"")"
hypothetical protein OCBIM_22033016mg [Octopus bimaculoides],Octopus bimaculoides,144,220,64%,7e-34,33.87,803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF76715.1?report=genbank&log$=prottop&blast_rank=7&RID=0MV5UHCW016"",""KOF76715.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,144,220,64%,7e-34,33.87,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780743.1?report=genbank&log$=prottop&blast_rank=8&RID=0MV5UHCW016"",""XP_014780743.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X2 [Octopus bimaculoides],Octopus bimaculoides,144,219,59%,7e-34,33.87,880,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014780744.1?report=genbank&log$=prottop&blast_rank=9&RID=0MV5UHCW016"",""XP_014780744.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X3 [Priapulus caudatus],Priapulus caudatus,143,143,83%,2e-33,25.23,829,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670505.1?report=genbank&log$=prottop&blast_rank=10&RID=0MV5UHCW016"",""XP_014670505.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X4 [Priapulus caudatus],Priapulus caudatus,140,140,83%,2e-32,25.49,728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670506.1?report=genbank&log$=prottop&blast_rank=11&RID=0MV5UHCW016"",""XP_014670506.1"")"
PREDICTED: cytosolic phospholipase A2-like isoform X1 [Priapulus caudatus],Priapulus caudatus,140,140,83%,2e-32,25.49,835,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014670499.1?report=genbank&log$=prottop&blast_rank=12&RID=0MV5UHCW016"",""XP_014670499.1"")"
cytosolic phospholipase A2-like isoform X2 [Acropora millepora],Acropora millepora,133,133,41%,2e-30,32.27,600,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185675.2?report=genbank&log$=prottop&blast_rank=13&RID=0MV5UHCW016"",""XP_029185675.2"")"
cytosolic phospholipase A2-like isoform X1 [Acropora millepora],Acropora millepora,134,134,41%,2e-30,32.27,779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029185674.2?report=genbank&log$=prottop&blast_rank=14&RID=0MV5UHCW016"",""XP_029185674.2"")"
cytosolic phospholipase A2 isoform X5 [Ciona intestinalis],Ciona intestinalis,109,194,60%,2e-22,29.08,901,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669044.1?report=genbank&log$=prottop&blast_rank=15&RID=0MV5UHCW016"",""XP_018669044.1"")"
cytosolic phospholipase A2 isoform X4 [Ciona intestinalis],Ciona intestinalis,109,194,60%,2e-22,29.08,916,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002127884.2?report=genbank&log$=prottop&blast_rank=16&RID=0MV5UHCW016"",""XP_002127884.2"")"
cytosolic phospholipase A2 isoform X6 [Ciona intestinalis],Ciona intestinalis,109,194,60%,2e-22,29.08,899,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669045.1?report=genbank&log$=prottop&blast_rank=17&RID=0MV5UHCW016"",""XP_018669045.1"")"
cytosolic phospholipase A2 isoform X3 [Ciona intestinalis],Ciona intestinalis,109,194,60%,2e-22,29.08,943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669043.1?report=genbank&log$=prottop&blast_rank=18&RID=0MV5UHCW016"",""XP_018669043.1"")"
cytosolic phospholipase A2 isoform X2 [Ciona intestinalis],Ciona intestinalis,108,193,60%,4e-22,29.08,1088,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018669042.1?report=genbank&log$=prottop&blast_rank=19&RID=0MV5UHCW016"",""XP_018669042.1"")"
cytosolic phospholipase A2 isoform X1 [Ciona intestinalis],Ciona intestinalis,108,193,60%,4e-22,29.08,1115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691972.1?report=genbank&log$=prottop&blast_rank=20&RID=0MV5UHCW016"",""XP_026691972.1"")"
