Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
calcium/calmodulin-dependent protein kinase type II delta chain isoform X6 [Gallus gallus],Gallus gallus,1063,1063,95%,0.0,98.83,514,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025005426.1?report=genbank&log$=prottop&blast_rank=1&RID=0Z22DP6N01R"",""XP_025005426.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X2 [Gallus gallus],Gallus gallus,1057,1057,95%,0.0,96.74,525,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025005424.1?report=genbank&log$=prottop&blast_rank=2&RID=0Z22DP6N01R"",""XP_025005424.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X8 [Gallus gallus],Gallus gallus,1054,1054,96%,0.0,97.85,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_040554912.1?report=genbank&log$=prottop&blast_rank=3&RID=0Z22DP6N01R"",""XP_040554912.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X5 [Gallus gallus],Gallus gallus,1052,1052,95%,0.0,97.85,514,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015131768.1?report=genbank&log$=prottop&blast_rank=4&RID=0Z22DP6N01R"",""XP_015131768.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X4 [Gallus gallus],Gallus gallus,1051,1051,95%,0.0,96.55,524,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025005425.1?report=genbank&log$=prottop&blast_rank=5&RID=0Z22DP6N01R"",""XP_025005425.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X1 [Gallus gallus],Gallus gallus,1046,1046,95%,0.0,95.79,525,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015131765.1?report=genbank&log$=prottop&blast_rank=6&RID=0Z22DP6N01R"",""XP_015131765.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X7 [Gallus gallus],Gallus gallus,1045,1045,95%,0.0,97.65,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015131769.1?report=genbank&log$=prottop&blast_rank=7&RID=0Z22DP6N01R"",""XP_015131769.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X3 [Gallus gallus],Gallus gallus,1040,1040,95%,0.0,95.59,524,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015131766.1?report=genbank&log$=prottop&blast_rank=8&RID=0Z22DP6N01R"",""XP_015131766.1"")"
calcium/calmodulin-dependent protein kinase type II subunit delta isoform X6 [Xenopus tropicalis],Xenopus tropicalis,1028,1028,95%,0.0,95.87,509,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031746309.1?report=genbank&log$=prottop&blast_rank=9&RID=0Z22DP6N01R"",""XP_031746309.1"")"
calcium/calmodulin-dependent protein kinase type II subunit delta isoform X14 [Xenopus tropicalis],Xenopus tropicalis,1022,1022,95%,0.0,95.68,508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031746462.1?report=genbank&log$=prottop&blast_rank=10&RID=0Z22DP6N01R"",""XP_031746462.1"")"
calcium/calmodulin-dependent protein kinase type II subunit delta isoform X5 [Xenopus tropicalis],Xenopus tropicalis,1018,1018,95%,0.0,94.89,509,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017952497.2?report=genbank&log$=prottop&blast_rank=11&RID=0Z22DP6N01R"",""XP_017952497.2"")"
calcium/calmodulin-dependent protein kinase type II subunit delta isoform X2 [Xenopus tropicalis],Xenopus tropicalis,1014,1014,95%,0.0,90.88,537,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031746239.1?report=genbank&log$=prottop&blast_rank=12&RID=0Z22DP6N01R"",""XP_031746239.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X10 [Gallus gallus],Gallus gallus,1013,1013,95%,0.0,95.11,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025005428.1?report=genbank&log$=prottop&blast_rank=13&RID=0Z22DP6N01R"",""XP_025005428.1"")"
calcium/calmodulin-dependent protein kinase type II subunit delta isoform X7 [Xenopus tropicalis],Xenopus tropicalis,1011,1011,95%,0.0,94.70,508,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017952499.2?report=genbank&log$=prottop&blast_rank=14&RID=0Z22DP6N01R"",""XP_017952499.2"")"
calcium/calmodulin-dependent protein kinase type II subunit delta isoform X4 [Xenopus tropicalis],Xenopus tropicalis,1007,1007,95%,0.0,90.69,536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031746278.1?report=genbank&log$=prottop&blast_rank=15&RID=0Z22DP6N01R"",""XP_031746278.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X12 [Gallus gallus],Gallus gallus,1006,1006,95%,0.0,94.91,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025005429.1?report=genbank&log$=prottop&blast_rank=16&RID=0Z22DP6N01R"",""XP_025005429.1"")"
calcium/calmodulin-dependent protein kinase type II subunit delta isoform X1 [Xenopus tropicalis],Xenopus tropicalis,1003,1003,95%,0.0,89.94,537,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017952440.2?report=genbank&log$=prottop&blast_rank=17&RID=0Z22DP6N01R"",""XP_017952440.2"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X9 [Gallus gallus],Gallus gallus,1001,1001,95%,0.0,94.13,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015131771.1?report=genbank&log$=prottop&blast_rank=18&RID=0Z22DP6N01R"",""XP_015131771.1"")"
calcium/calmodulin-dependent protein kinase type II subunit delta isoform X3 [Xenopus tropicalis],Xenopus tropicalis,996,996,95%,0.0,89.76,536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017952474.2?report=genbank&log$=prottop&blast_rank=19&RID=0Z22DP6N01R"",""XP_017952474.2"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X11 [Gallus gallus],Gallus gallus,995,995,95%,0.0,93.93,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015131772.1?report=genbank&log$=prottop&blast_rank=20&RID=0Z22DP6N01R"",""XP_015131772.1"")"
calcium/calmodulin-dependent protein kinase type II delta 1 chain isoform X6 [Danio rerio],Danio rerio,994,994,95%,0.0,92.17,511,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021333143.1?report=genbank&log$=prottop&blast_rank=21&RID=0Z22DP6N01R"",""XP_021333143.1"")"
calcium/calmodulin-dependent protein kinase type II delta 2 chain isoform X9 [Danio rerio],Danio rerio,987,987,95%,0.0,91.19,513,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009304944.1?report=genbank&log$=prottop&blast_rank=22&RID=0Z22DP6N01R"",""XP_009304944.1"")"
calcium/calmodulin-dependent protein kinase type II delta 2 chain isoform X13 [Danio rerio],Danio rerio,985,985,95%,0.0,90.61,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021327262.1?report=genbank&log$=prottop&blast_rank=23&RID=0Z22DP6N01R"",""XP_021327262.1"")"
calcium/calmodulin-dependent protein kinase type II delta 2 chain isoform X10 [Danio rerio],Danio rerio,983,983,95%,0.0,90.59,512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017209573.1?report=genbank&log$=prottop&blast_rank=24&RID=0Z22DP6N01R"",""XP_017209573.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X14 [Gallus gallus],Gallus gallus,982,982,95%,0.0,92.56,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025005430.1?report=genbank&log$=prottop&blast_rank=25&RID=0Z22DP6N01R"",""XP_025005430.1"")"
calcium/calmodulin-dependent protein kinase type II delta 2 chain isoform X7 [Danio rerio],Danio rerio,981,981,95%,0.0,89.96,520,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009304940.1?report=genbank&log$=prottop&blast_rank=26&RID=0Z22DP6N01R"",""XP_009304940.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X2 [Carcharodon carcharias],Carcharodon carcharias,980,980,95%,0.0,92.01,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041064941.1?report=genbank&log$=prottop&blast_rank=27&RID=0Z22DP6N01R"",""XP_041064941.1"")"
calcium/calmodulin-dependent protein kinase type II delta 2 chain isoform X8 [Danio rerio],Danio rerio,976,976,95%,0.0,89.36,519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009304942.1?report=genbank&log$=prottop&blast_rank=28&RID=0Z22DP6N01R"",""XP_009304942.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X16 [Gallus gallus],Gallus gallus,975,975,95%,0.0,92.17,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025005431.1?report=genbank&log$=prottop&blast_rank=29&RID=0Z22DP6N01R"",""XP_025005431.1"")"
calcium/calmodulin-dependent protein kinase type II delta 1 chain isoform X4 [Carcharodon carcharias],Carcharodon carcharias,974,974,95%,0.0,91.41,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041065114.1?report=genbank&log$=prottop&blast_rank=30&RID=0Z22DP6N01R"",""XP_041065114.1"")"
hypothetical protein XENTR_v10000882 [Xenopus tropicalis],Xenopus tropicalis,973,973,95%,0.0,91.75,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAE8630586.1?report=genbank&log$=prottop&blast_rank=31&RID=0Z22DP6N01R"",""KAE8630586.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X13 [Gallus gallus],Gallus gallus,972,972,95%,0.0,91.59,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015131774.1?report=genbank&log$=prottop&blast_rank=32&RID=0Z22DP6N01R"",""XP_015131774.1"")"
calcium/calmodulin-dependent protein kinase type II delta 2 chain isoform X4 [Danio rerio],Danio rerio,971,971,95%,0.0,85.50,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021327037.1?report=genbank&log$=prottop&blast_rank=33&RID=0Z22DP6N01R"",""XP_021327037.1"")"
calcium/calmodulin-dependent protein kinase type II delta 2 chain isoform X2 [Danio rerio],Danio rerio,969,969,95%,0.0,84.45,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009304932.1?report=genbank&log$=prottop&blast_rank=34&RID=0Z22DP6N01R"",""XP_009304932.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X1 [Carcharodon carcharias],Carcharodon carcharias,969,969,95%,0.0,91.03,494,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041064892.1?report=genbank&log$=prottop&blast_rank=35&RID=0Z22DP6N01R"",""XP_041064892.1"")"
calcium/calmodulin-dependent protein kinase type II delta 2 chain isoform X1 [Danio rerio],Danio rerio,967,967,95%,0.0,84.42,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_017209507.1?report=genbank&log$=prottop&blast_rank=36&RID=0Z22DP6N01R"",""XP_017209507.1"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X15 [Gallus gallus],Gallus gallus,966,966,95%,0.0,91.39,490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015131775.1?report=genbank&log$=prottop&blast_rank=37&RID=0Z22DP6N01R"",""XP_015131775.1"")"
calcium/calmodulin-dependent protein kinase type II subunit beta isoform X42 [Carcharodon carcharias],Carcharodon carcharias,966,966,96%,0.0,89.17,517,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041066004.1?report=genbank&log$=prottop&blast_rank=38&RID=0Z22DP6N01R"",""XP_041066004.1"")"
RecName: Full=Calcium/calmodulin-dependent protein kinase type II delta 2 chain; AltName: Full=Calcium/calmodulin-dependent protein kinase type II delta-A chain; Short=CaM kinase II subunit delta-A; Short=CaM-kinase II delta-A chain; Short=CaMK-II subunit delta-A [Danio rerio],Danio rerio,964,964,95%,0.0,84.24,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/Q6DGS3.2?report=genbank&log$=prottop&blast_rank=39&RID=0Z22DP6N01R"",""Q6DGS3.2"")"
calcium/calmodulin-dependent protein kinase type II delta chain isoform X3 [Carcharodon carcharias],Carcharodon carcharias,964,964,95%,0.0,90.43,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_041065025.1?report=genbank&log$=prottop&blast_rank=40&RID=0Z22DP6N01R"",""XP_041065025.1"")"
