Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X4 [Octopus bimaculoides]",Octopus bimaculoides,352,352,39%,5e-112,50.60,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785562.1?report=genbank&log$=prottop&blast_rank=1&RID=0CJM4HV0016"",""XP_014785562.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X3 [Octopus bimaculoides]",Octopus bimaculoides,351,351,39%,1e-111,49.12,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785561.1?report=genbank&log$=prottop&blast_rank=2&RID=0CJM4HV0016"",""XP_014785561.1"")"
hypothetical protein OCBIM_22003654mg [Octopus bimaculoides],Octopus bimaculoides,348,348,36%,6e-111,53.16,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF70027.1?report=genbank&log$=prottop&blast_rank=3&RID=0CJM4HV0016"",""KOF70027.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X2 [Octopus bimaculoides]",Octopus bimaculoides,343,343,39%,3e-108,48.06,381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785560.1?report=genbank&log$=prottop&blast_rank=4&RID=0CJM4HV0016"",""XP_014785560.1"")"
myosin light chain kinase 3-like isoform X1 [Ciona intestinalis],Ciona intestinalis,355,355,40%,6e-108,45.88,781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_009858067.2?report=genbank&log$=prottop&blast_rank=5&RID=0CJM4HV0016"",""XP_009858067.2"")"
hypothetical protein OCBIM_22003654mg [Octopus bimaculoides],Octopus bimaculoides,339,339,36%,4e-107,50.15,355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF70028.1?report=genbank&log$=prottop&blast_rank=6&RID=0CJM4HV0016"",""KOF70028.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X1 [Octopus bimaculoides]",Octopus bimaculoides,340,340,39%,7e-107,46.63,392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014785559.1?report=genbank&log$=prottop&blast_rank=7&RID=0CJM4HV0016"",""XP_014785559.1"")"
"myosin light chain kinase, smooth muscle isoform X3 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,369,709,39%,1e-106,51.39,3033,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830853.1?report=genbank&log$=prottop&blast_rank=8&RID=0CJM4HV0016"",""XP_030830853.1"")"
"myosin light chain kinase, smooth muscle-like isoform X1 [Asterias rubens]",Asterias rubens,367,733,39%,3e-106,50.95,3506,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628654.1?report=genbank&log$=prottop&blast_rank=9&RID=0CJM4HV0016"",""XP_033628654.1"")"
"myosin light chain kinase, smooth muscle-like isoform X2 [Asterias rubens]",Asterias rubens,367,726,38%,3e-106,50.95,3235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628655.1?report=genbank&log$=prottop&blast_rank=10&RID=0CJM4HV0016"",""XP_033628655.1"")"
"myosin light chain kinase, smooth muscle isoform X5 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,365,365,36%,2e-105,52.46,2749,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011667920.2?report=genbank&log$=prottop&blast_rank=11&RID=0CJM4HV0016"",""XP_011667920.2"")"
"myosin light chain kinase, smooth muscle isoform X4 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,365,365,36%,2e-105,52.46,2750,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011667919.2?report=genbank&log$=prottop&blast_rank=12&RID=0CJM4HV0016"",""XP_011667919.2"")"
"myosin light chain kinase, smooth muscle isoform X1 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,363,704,38%,7e-105,52.63,3053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830851.1?report=genbank&log$=prottop&blast_rank=13&RID=0CJM4HV0016"",""XP_030830851.1"")"
"myosin light chain kinase, smooth muscle isoform X2 [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,363,704,38%,7e-105,52.46,3052,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830852.1?report=genbank&log$=prottop&blast_rank=14&RID=0CJM4HV0016"",""XP_030830852.1"")"
myosin light chain kinase-like protein [Saccoglossus kowalevskii],Saccoglossus kowalevskii,330,330,39%,1e-102,48.00,433,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161592.1?report=genbank&log$=prottop&blast_rank=15&RID=0CJM4HV0016"",""NP_001161592.1"")"
"PREDICTED: myosin light chain kinase 2, skeletal/cardiac muscle-like [Priapulus caudatus]",Priapulus caudatus,319,319,38%,8e-100,49.69,332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671846.1?report=genbank&log$=prottop&blast_rank=16&RID=0CJM4HV0016"",""XP_014671846.1"")"
"myosin light chain kinase, smooth muscle isoform X1 [Ciona intestinalis]",Ciona intestinalis,347,347,38%,2e-99,48.09,2623,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018668913.1?report=genbank&log$=prottop&blast_rank=17&RID=0CJM4HV0016"",""XP_018668913.1"")"
"myosin light chain kinase, smooth muscle isoform X2 [Ciona intestinalis]",Ciona intestinalis,347,347,38%,2e-99,48.09,2349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002122169.1?report=genbank&log$=prottop&blast_rank=18&RID=0CJM4HV0016"",""XP_002122169.1"")"
myosin light chain kinase family member 4-like [Branchiostoma floridae],Branchiostoma floridae,322,322,40%,3e-99,43.04,424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035674748.1?report=genbank&log$=prottop&blast_rank=19&RID=0CJM4HV0016"",""XP_035674748.1"")"
"myosin light chain kinase, smooth muscle isoform X3 [Ciona intestinalis]",Ciona intestinalis,347,347,38%,3e-99,48.09,2329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018668914.1?report=genbank&log$=prottop&blast_rank=20&RID=0CJM4HV0016"",""XP_018668914.1"")"
titin homolog [Branchiostoma floridae],Branchiostoma floridae,346,346,37%,6e-99,51.62,2379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660911.1?report=genbank&log$=prottop&blast_rank=21&RID=0CJM4HV0016"",""XP_035660911.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like [Priapulus caudatus]",Priapulus caudatus,315,315,35%,4e-98,49.83,324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014663585.1?report=genbank&log$=prottop&blast_rank=22&RID=0CJM4HV0016"",""XP_014663585.1"")"
"myosin light chain kinase, smooth muscle-like [Asterias rubens]",Asterias rubens,317,317,39%,1e-97,48.76,429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628774.1?report=genbank&log$=prottop&blast_rank=23&RID=0CJM4HV0016"",""XP_033628774.1"")"
PREDICTED: myosin light chain kinase-like protein isoform X1 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,316,316,37%,1e-96,48.54,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006823003.1?report=genbank&log$=prottop&blast_rank=24&RID=0CJM4HV0016"",""XP_006823003.1"")"
"myosin light chain kinase, smooth muscle [Strongylocentrotus purpuratus]",Strongylocentrotus purpuratus,314,314,39%,2e-96,47.38,429,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003724502.1?report=genbank&log$=prottop&blast_rank=25&RID=0CJM4HV0016"",""XP_003724502.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X2 [Octopus bimaculoides]",Octopus bimaculoides,310,310,39%,5e-95,46.93,426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777515.1?report=genbank&log$=prottop&blast_rank=26&RID=0CJM4HV0016"",""XP_014777515.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like isoform X3 [Octopus bimaculoides]",Octopus bimaculoides,306,306,37%,4e-94,47.59,390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777523.1?report=genbank&log$=prottop&blast_rank=27&RID=0CJM4HV0016"",""XP_014777523.1"")"
MYLK3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,331,331,39%,7e-94,44.24,2485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249869.1?report=genbank&log$=prottop&blast_rank=28&RID=0CJM4HV0016"",""CAH1249869.1"")"
PREDICTED: myosin light chain kinase family member 4-like isoform X1 [Octopus bimaculoides],Octopus bimaculoides,309,309,38%,7e-94,47.30,476,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014777498.1?report=genbank&log$=prottop&blast_rank=29&RID=0CJM4HV0016"",""XP_014777498.1"")"
"myosin light chain kinase, smooth muscle-like [Branchiostoma floridae]",Branchiostoma floridae,303,303,32%,3e-93,49.81,346,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035661607.1?report=genbank&log$=prottop&blast_rank=30&RID=0CJM4HV0016"",""XP_035661607.1"")"
MYLK3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,306,306,39%,8e-93,38.25,467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1256670.1?report=genbank&log$=prottop&blast_rank=31&RID=0CJM4HV0016"",""CAH1256670.1"")"
MYLK [Branchiostoma lanceolatum],Branchiostoma lanceolatum,325,580,41%,7e-92,46.94,18876,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1249867.1?report=genbank&log$=prottop&blast_rank=32&RID=0CJM4HV0016"",""CAH1249867.1"")"
PREDICTED: titin-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,310,310,36%,4e-87,49.83,1870,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006823011.1?report=genbank&log$=prottop&blast_rank=33&RID=0CJM4HV0016"",""XP_006823011.1"")"
"PREDICTED: myosin light chain kinase, smooth muscle-like [Saccoglossus kowalevskii]",Saccoglossus kowalevskii,280,280,28%,6e-84,52.56,410,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002739916.1?report=genbank&log$=prottop&blast_rank=34&RID=0CJM4HV0016"",""XP_002739916.1"")"
PREDICTED: titin-like [Octopus bimaculoides],Octopus bimaculoides,301,301,32%,9e-84,50.55,24710,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014781659.1?report=genbank&log$=prottop&blast_rank=35&RID=0CJM4HV0016"",""XP_014781659.1"")"
Protein kinase domain-containing protein [Caenorhabditis elegans],Caenorhabditis elegans,298,298,38%,9e-84,42.86,1211,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_509689.1?report=genbank&log$=prottop&blast_rank=36&RID=0CJM4HV0016"",""NP_509689.1"")"
LOW QUALITY PROTEIN: titin-like [Acropora millepora],Acropora millepora,299,575,38%,6e-83,43.27,10629,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044172413.1?report=genbank&log$=prottop&blast_rank=37&RID=0CJM4HV0016"",""XP_044172413.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,299,299,36%,7e-83,45.40,14734,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001367912.1?report=genbank&log$=prottop&blast_rank=38&RID=0CJM4HV0016"",""NP_001367912.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,298,298,36%,8e-83,45.40,14762,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001346716.1?report=genbank&log$=prottop&blast_rank=39&RID=0CJM4HV0016"",""NP_001346716.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,298,298,36%,9e-83,45.40,15160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001360072.1?report=genbank&log$=prottop&blast_rank=40&RID=0CJM4HV0016"",""NP_001360072.1"")"
hypothetical protein OCBIM_22025079mg [Octopus bimaculoides],Octopus bimaculoides,288,288,33%,9e-83,49.29,791,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF98456.1?report=genbank&log$=prottop&blast_rank=41&RID=0CJM4HV0016"",""KOF98456.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,298,298,36%,1e-82,45.40,15188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001346715.1?report=genbank&log$=prottop&blast_rank=42&RID=0CJM4HV0016"",""NP_001346715.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,298,298,36%,1e-82,45.21,14719,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001367914.1?report=genbank&log$=prottop&blast_rank=43&RID=0CJM4HV0016"",""NP_001367914.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,298,298,36%,2e-82,45.21,15145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001367913.1?report=genbank&log$=prottop&blast_rank=44&RID=0CJM4HV0016"",""NP_001367913.1"")"
2MDa_1 protein [Caenorhabditis elegans],Caenorhabditis elegans,297,297,36%,2e-82,45.71,18534,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAN61517.1?report=genbank&log$=prottop&blast_rank=45&RID=0CJM4HV0016"",""AAN61517.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,297,297,36%,2e-82,45.21,14747,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001346723.1?report=genbank&log$=prottop&blast_rank=46&RID=0CJM4HV0016"",""NP_001346723.1"")"
Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,297,297,36%,2e-82,45.21,15173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001346722.1?report=genbank&log$=prottop&blast_rank=47&RID=0CJM4HV0016"",""NP_001346722.1"")"
RecName: Full=Titin homolog [Caenorhabditis elegans],Caenorhabditis elegans,297,297,36%,2e-82,45.71,18562,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/G4SLH0.2?report=genbank&log$=prottop&blast_rank=48&RID=0CJM4HV0016"",""G4SLH0.2"")"
2MDa_2 protein [Caenorhabditis elegans],Caenorhabditis elegans,296,296,36%,4e-82,45.54,18519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAN61518.1?report=genbank&log$=prottop&blast_rank=49&RID=0CJM4HV0016"",""AAN61518.1"")"
titin-like [Asterias rubens],Asterias rubens,295,295,32%,1e-81,48.12,8389,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033628849.1?report=genbank&log$=prottop&blast_rank=50&RID=0CJM4HV0016"",""XP_033628849.1"")"
titin [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,295,295,38%,2e-81,43.99,24046,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030830392.1?report=genbank&log$=prottop&blast_rank=51&RID=0CJM4HV0016"",""XP_030830392.1"")"
