Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
5'-AMP-activated protein kinase subunit beta-1-like isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,249,249,94%,3e-80,49.05,275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030854808.1?report=genbank&log$=prottop&blast_rank=1&RID=6RRRE6H8013"",""XP_030854808.1"")"
5'-AMP-activated protein kinase subunit beta-2-like [Asterias rubens],Asterias rubens,247,247,72%,3e-79,63.18,269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033627084.1?report=genbank&log$=prottop&blast_rank=2&RID=6RRRE6H8013"",""XP_033627084.1"")"
5'-AMP-activated protein kinase subunit beta-1 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,244,244,94%,4e-78,47.79,284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003729299.1?report=genbank&log$=prottop&blast_rank=3&RID=6RRRE6H8013"",""XP_003729299.1"")"
5'-AMP-activated protein kinase subunit beta-2-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,237,237,94%,3e-75,49.25,278,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035671484.1?report=genbank&log$=prottop&blast_rank=4&RID=6RRRE6H8013"",""XP_035671484.1"")"
5'-AMP-activated protein kinase subunit beta-2-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,235,235,94%,2e-74,49.81,279,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035671463.1?report=genbank&log$=prottop&blast_rank=5&RID=6RRRE6H8013"",""XP_035671463.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-1-like [Priapulus caudatus],Priapulus caudatus,228,228,65%,2e-71,60.11,290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671822.1?report=genbank&log$=prottop&blast_rank=6&RID=6RRRE6H8013"",""XP_014671822.1"")"
5'-AMP-activated protein kinase subunit beta-1 [Ciona intestinalis],Ciona intestinalis,212,212,70%,9e-66,59.79,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002129192.1?report=genbank&log$=prottop&blast_rank=7&RID=6RRRE6H8013"",""XP_002129192.1"")"
5'-AMP-activated protein kinase subunit beta-2-like [Acropora millepora],Acropora millepora,211,211,71%,2e-65,50.24,272,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029211126.1?report=genbank&log$=prottop&blast_rank=8&RID=6RRRE6H8013"",""XP_029211126.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,208,208,62%,2e-64,56.28,245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006825814.1?report=genbank&log$=prottop&blast_rank=9&RID=6RRRE6H8013"",""XP_006825814.1"")"
PREDICTED: 5'-AMP-activated protein kinase subunit beta-1-like [Priapulus caudatus],Priapulus caudatus,204,204,72%,6e-63,58.79,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671500.1?report=genbank&log$=prottop&blast_rank=10&RID=6RRRE6H8013"",""XP_014671500.1"")"
AMPKBI domain-containing protein [Caenorhabditis elegans],Caenorhabditis elegans,182,182,69%,4e-54,45.71,269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001366890.1?report=genbank&log$=prottop&blast_rank=11&RID=6RRRE6H8013"",""NP_001366890.1"")"
