Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ADCY2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,994,994,96%,0.0,50.83,1136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1268842.1?report=genbank&log$=prottop&blast_rank=1&RID=0CNM44EE016"",""CAH1268842.1"")"
ADCY2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,992,992,96%,0.0,50.65,1136,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1268866.1?report=genbank&log$=prottop&blast_rank=2&RID=0CNM44EE016"",""CAH1268866.1"")"
adenylate cyclase type 2-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,973,973,87%,0.0,52.98,976,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035678763.1?report=genbank&log$=prottop&blast_rank=3&RID=0CNM44EE016"",""XP_035678763.1"")"
adenylate cyclase type 2-like isoform X2 [Asterias rubens],Asterias rubens,954,954,96%,0.0,46.68,1121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626706.1?report=genbank&log$=prottop&blast_rank=4&RID=0CNM44EE016"",""XP_033626706.1"")"
adenylate cyclase type 2-like isoform X1 [Asterias rubens],Asterias rubens,954,954,96%,0.0,46.68,1164,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033626705.1?report=genbank&log$=prottop&blast_rank=5&RID=0CNM44EE016"",""XP_033626705.1"")"
adenylate cyclase type 2-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,925,925,81%,0.0,53.98,903,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035678764.1?report=genbank&log$=prottop&blast_rank=6&RID=0CNM44EE016"",""XP_035678764.1"")"
PREDICTED: adenylate cyclase type 2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,910,910,97%,0.0,47.06,1045,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006825139.1?report=genbank&log$=prottop&blast_rank=7&RID=0CNM44EE016"",""XP_006825139.1"")"
adenylate cyclase type 2 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,876,876,97%,0.0,45.07,1143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030831599.1?report=genbank&log$=prottop&blast_rank=8&RID=0CNM44EE016"",""XP_030831599.1"")"
adenylate cyclase type 2 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,863,863,97%,0.0,44.19,1165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030831597.1?report=genbank&log$=prottop&blast_rank=9&RID=0CNM44EE016"",""XP_030831597.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X1 [Priapulus caudatus],Priapulus caudatus,842,842,96%,0.0,42.65,1113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671436.1?report=genbank&log$=prottop&blast_rank=10&RID=0CNM44EE016"",""XP_014671436.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X2 [Priapulus caudatus],Priapulus caudatus,842,842,96%,0.0,42.65,1085,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671437.1?report=genbank&log$=prottop&blast_rank=11&RID=0CNM44EE016"",""XP_014671437.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X3 [Priapulus caudatus],Priapulus caudatus,842,842,96%,0.0,42.65,1073,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671439.1?report=genbank&log$=prottop&blast_rank=12&RID=0CNM44EE016"",""XP_014671439.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X4 [Priapulus caudatus],Priapulus caudatus,841,841,95%,0.0,42.88,1056,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014671440.1?report=genbank&log$=prottop&blast_rank=13&RID=0CNM44EE016"",""XP_014671440.1"")"
adenylate cyclase type 5-like [Asterias rubens],Asterias rubens,742,742,91%,0.0,40.92,1235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033639896.1?report=genbank&log$=prottop&blast_rank=14&RID=0CNM44EE016"",""XP_033639896.1"")"
adenylate cyclase type 5 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,733,733,86%,0.0,42.31,1208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030846084.1?report=genbank&log$=prottop&blast_rank=15&RID=0CNM44EE016"",""XP_030846084.1"")"
PREDICTED: adenylate cyclase type 2-like [Priapulus caudatus],Priapulus caudatus,702,781,75%,0.0,44.89,1094,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014665401.1?report=genbank&log$=prottop&blast_rank=16&RID=0CNM44EE016"",""XP_014665401.1"")"
PREDICTED: adenylate cyclase type 2-like [Amphimedon queenslandica],Amphimedon queenslandica,665,665,90%,0.0,38.37,1178,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019850469.1?report=genbank&log$=prottop&blast_rank=17&RID=0CNM44EE016"",""XP_019850469.1"")"
ADCY8 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,650,650,96%,0.0,35.33,1850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1248161.1?report=genbank&log$=prottop&blast_rank=18&RID=0CNM44EE016"",""CAH1248161.1"")"
PREDICTED: adenylate cyclase type 8-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,645,645,96%,0.0,36.44,1554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006820732.1?report=genbank&log$=prottop&blast_rank=19&RID=0CNM44EE016"",""XP_006820732.1"")"
adenylate cyclase type 8-like [Branchiostoma floridae],Branchiostoma floridae,644,644,96%,0.0,35.06,1753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035660331.1?report=genbank&log$=prottop&blast_rank=20&RID=0CNM44EE016"",""XP_035660331.1"")"
PREDICTED: uncharacterized protein LOC106868905 [Octopus bimaculoides],Octopus bimaculoides,639,639,81%,0.0,41.86,1850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014769851.1?report=genbank&log$=prottop&blast_rank=21&RID=0CNM44EE016"",""XP_014769851.1"")"
PREDICTED: adenylate cyclase type 5-like [Priapulus caudatus],Priapulus caudatus,625,625,96%,0.0,36.48,1113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014676369.1?report=genbank&log$=prottop&blast_rank=22&RID=0CNM44EE016"",""XP_014676369.1"")"
adenylate cyclase type 6 [Ciona intestinalis],Ciona intestinalis,624,624,96%,0.0,36.68,1222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026693427.1?report=genbank&log$=prottop&blast_rank=23&RID=0CNM44EE016"",""XP_026693427.1"")"
PREDICTED: adenylate cyclase type 5-like [Hydra vulgaris],Hydra vulgaris,591,591,89%,0.0,37.27,1104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012556398.1?report=genbank&log$=prottop&blast_rank=24&RID=0CNM44EE016"",""XP_012556398.1"")"
adenylate cyclase type 5-like [Acropora millepora],Acropora millepora,587,587,78%,0.0,40.72,789,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044166329.1?report=genbank&log$=prottop&blast_rank=25&RID=0CNM44EE016"",""XP_044166329.1"")"
adenylate cyclase type 3-like [Acropora millepora],Acropora millepora,580,580,96%,0.0,34.68,1160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044181646.1?report=genbank&log$=prottop&blast_rank=26&RID=0CNM44EE016"",""XP_044181646.1"")"
PREDICTED: adenylate cyclase type 3 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,576,576,91%,0.0,35.71,1062,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002734095.1?report=genbank&log$=prottop&blast_rank=27&RID=0CNM44EE016"",""XP_002734095.1"")"
adenylate cyclase type 3-like [Asterias rubens],Asterias rubens,574,574,89%,0.0,35.72,1073,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033640430.1?report=genbank&log$=prottop&blast_rank=28&RID=0CNM44EE016"",""XP_033640430.1"")"
adenylate cyclase type 3-like [Branchiostoma floridae],Branchiostoma floridae,569,569,93%,0.0,35.29,1061,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035659644.1?report=genbank&log$=prottop&blast_rank=29&RID=0CNM44EE016"",""XP_035659644.1"")"
ADCY3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,560,643,93%,9e-180,34.55,1037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1248162.1?report=genbank&log$=prottop&blast_rank=30&RID=0CNM44EE016"",""CAH1248162.1"")"
adenylate cyclase type 3-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,544,622,89%,3e-173,33.94,1087,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030829913.1?report=genbank&log$=prottop&blast_rank=31&RID=0CNM44EE016"",""XP_030829913.1"")"
PREDICTED: adenylate cyclase type 2-like [Hydra vulgaris],Hydra vulgaris,494,494,75%,5e-158,36.01,771,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_004206359.2?report=genbank&log$=prottop&blast_rank=32&RID=0CNM44EE016"",""XP_004206359.2"")"
PREDICTED: adenylate cyclase type 2-like isoform X2 [Amphimedon queenslandica],Amphimedon queenslandica,492,587,87%,7e-154,35.42,1048,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019855357.1?report=genbank&log$=prottop&blast_rank=33&RID=0CNM44EE016"",""XP_019855357.1"")"
PREDICTED: adenylate cyclase type 2-like isoform X1 [Amphimedon queenslandica],Amphimedon queenslandica,492,585,87%,1e-153,34.96,1064,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019855356.1?report=genbank&log$=prottop&blast_rank=34&RID=0CNM44EE016"",""XP_019855356.1"")"
PREDICTED: adenylate cyclase type 6-like [Octopus bimaculoides],Octopus bimaculoides,450,450,72%,7e-142,35.69,713,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014789025.1?report=genbank&log$=prottop&blast_rank=35&RID=0CNM44EE016"",""XP_014789025.1"")"
PREDICTED: adenylate cyclase type 2-like [Amphimedon queenslandica],Amphimedon queenslandica,454,454,88%,2e-139,32.48,1054,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019862822.1?report=genbank&log$=prottop&blast_rank=36&RID=0CNM44EE016"",""XP_019862822.1"")"
PREDICTED: adenylate cyclase type 1-like [Priapulus caudatus],Priapulus caudatus,370,757,80%,3e-105,42.65,1703,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014661660.1?report=genbank&log$=prottop&blast_rank=37&RID=0CNM44EE016"",""XP_014661660.1"")"
adenylate cyclase type 5-like [Branchiostoma floridae],Branchiostoma floridae,355,858,73%,5e-103,40.31,1027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035689810.1?report=genbank&log$=prottop&blast_rank=38&RID=0CNM44EE016"",""XP_035689810.1"")"
PREDICTED: LOW QUALITY PROTEIN: adenylate cyclase type 5-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,352,706,65%,1e-98,40.24,1880,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006819097.1?report=genbank&log$=prottop&blast_rank=39&RID=0CNM44EE016"",""XP_006819097.1"")"
adenylate cyclase [Ciona intestinalis],Ciona intestinalis,311,311,36%,4e-93,42.42,439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAP91729.1?report=genbank&log$=prottop&blast_rank=40&RID=0CNM44EE016"",""AAP91729.1"")"
hypothetical protein OCBIM_22007318mg [Octopus bimaculoides],Octopus bimaculoides,317,394,64%,3e-87,39.30,1545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF92075.1?report=genbank&log$=prottop&blast_rank=41&RID=0CNM44EE016"",""KOF92075.1"")"
