Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
guanylate cyclase soluble subunit alpha-2-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,558,558,84%,0.0,45.11,911,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681739.1?report=genbank&log$=prottop&blast_rank=1&RID=0AJ3GNUM013"",""XP_035681739.1"")"
guanylate cyclase soluble subunit alpha-2-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,558,558,84%,0.0,45.11,816,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681740.1?report=genbank&log$=prottop&blast_rank=2&RID=0AJ3GNUM013"",""XP_035681740.1"")"
GUCY1A2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,546,546,93%,0.0,40.99,820,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267967.1?report=genbank&log$=prottop&blast_rank=3&RID=0AJ3GNUM013"",""CAH1267967.1"")"
GUCY1A2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,544,544,93%,1e-179,40.99,911,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267966.1?report=genbank&log$=prottop&blast_rank=4&RID=0AJ3GNUM013"",""CAH1267966.1"")"
PREDICTED: guanylate cyclase soluble subunit alpha-2-like [Octopus bimaculoides],Octopus bimaculoides,512,512,75%,5e-171,46.81,624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014771324.1?report=genbank&log$=prottop&blast_rank=5&RID=0AJ3GNUM013"",""XP_014771324.1"")"
guanylate cyclase soluble subunit alpha-2-like [Asterias rubens],Asterias rubens,501,501,83%,2e-165,42.36,694,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033632418.1?report=genbank&log$=prottop&blast_rank=6&RID=0AJ3GNUM013"",""XP_033632418.1"")"
hypothetical protein OCBIM_22013044mg [Octopus bimaculoides],Octopus bimaculoides,468,468,54%,1e-154,55.24,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOG01042.1?report=genbank&log$=prottop&blast_rank=7&RID=0AJ3GNUM013"",""KOG01042.1"")"
guanylate cyclase soluble subunit alpha-2-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,454,454,75%,2e-148,43.79,634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836089.1?report=genbank&log$=prottop&blast_rank=8&RID=0AJ3GNUM013"",""XP_030836089.1"")"
guanylate cyclase soluble subunit alpha-2 isoform X2 [Ciona intestinalis],Ciona intestinalis,436,436,54%,7e-143,51.83,518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691494.1?report=genbank&log$=prottop&blast_rank=9&RID=0AJ3GNUM013"",""XP_026691494.1"")"
guanylate cyclase soluble subunit alpha-2 isoform X1 [Ciona intestinalis],Ciona intestinalis,434,434,54%,1e-141,50.22,536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691493.1?report=genbank&log$=prottop&blast_rank=10&RID=0AJ3GNUM013"",""XP_026691493.1"")"
GUCY1A2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,342,342,77%,7e-104,35.37,751,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267965.1?report=genbank&log$=prottop&blast_rank=11&RID=0AJ3GNUM013"",""CAH1267965.1"")"
guanylate cyclase soluble subunit beta-1-like [Branchiostoma floridae],Branchiostoma floridae,339,339,78%,1e-103,34.02,674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681658.1?report=genbank&log$=prottop&blast_rank=12&RID=0AJ3GNUM013"",""XP_035681658.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,334,334,78%,2e-102,35.03,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267968.1?report=genbank&log$=prottop&blast_rank=13&RID=0AJ3GNUM013"",""CAH1267968.1"")"
guanylate cyclase soluble subunit beta-1-like [Branchiostoma floridae],Branchiostoma floridae,332,332,78%,2e-101,34.88,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681741.1?report=genbank&log$=prottop&blast_rank=14&RID=0AJ3GNUM013"",""XP_035681741.1"")"
PREDICTED: uncharacterized protein LOC100197914 [Hydra vulgaris],Hydra vulgaris,332,332,76%,2e-96,33.84,1228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012563239.1?report=genbank&log$=prottop&blast_rank=15&RID=0AJ3GNUM013"",""XP_012563239.1"")"
PREDICTED: guanylate cyclase soluble subunit beta-1-like [Octopus bimaculoides],Octopus bimaculoides,318,318,75%,4e-96,34.15,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014783808.1?report=genbank&log$=prottop&blast_rank=16&RID=0AJ3GNUM013"",""XP_014783808.1"")"
guanylate cyclase soluble subunit beta-1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,316,316,79%,1e-95,33.33,604,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_786686.3?report=genbank&log$=prottop&blast_rank=17&RID=0AJ3GNUM013"",""XP_786686.3"")"
guanylate cyclase soluble subunit beta-1-like [Asterias rubens],Asterias rubens,297,297,75%,2e-88,33.56,605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033632257.1?report=genbank&log$=prottop&blast_rank=18&RID=0AJ3GNUM013"",""XP_033632257.1"")"
guanylate cyclase soluble subunit beta-2 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,298,298,71%,1e-87,33.83,735,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030837424.1?report=genbank&log$=prottop&blast_rank=19&RID=0AJ3GNUM013"",""XP_030837424.1"")"
Soluble guanylate cyclase gcy-35 [Caenorhabditis elegans],Caenorhabditis elegans,296,296,73%,2e-87,32.76,688,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001252131.1?report=genbank&log$=prottop&blast_rank=20&RID=0AJ3GNUM013"",""NP_001252131.1"")"
hypothetical protein OCBIM_22039505mg [Octopus bimaculoides],Octopus bimaculoides,290,290,54%,4e-87,38.41,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF72379.1?report=genbank&log$=prottop&blast_rank=21&RID=0AJ3GNUM013"",""KOF72379.1"")"
guanylate cyclase soluble subunit beta-2-like [Branchiostoma floridae],Branchiostoma floridae,295,295,75%,7e-87,31.07,658,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035692500.1?report=genbank&log$=prottop&blast_rank=22&RID=0AJ3GNUM013"",""XP_035692500.1"")"
LOW QUALITY PROTEIN: soluble guanylate cyclase 88E-like [Acropora millepora],Acropora millepora,294,294,73%,9e-86,32.09,770,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029199792.2?report=genbank&log$=prottop&blast_rank=23&RID=0AJ3GNUM013"",""XP_029199792.2"")"
PREDICTED: guanylate cyclase soluble subunit beta-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,294,294,79%,2e-85,32.52,786,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002737042.1?report=genbank&log$=prottop&blast_rank=24&RID=0AJ3GNUM013"",""XP_002737042.1"")"
guanylate cyclase soluble subunit beta-2-like [Asterias rubens],Asterias rubens,288,288,77%,2e-83,29.95,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033641505.1?report=genbank&log$=prottop&blast_rank=25&RID=0AJ3GNUM013"",""XP_033641505.1"")"
guanylate cyclase soluble subunit beta-2-like isoform X3 [Asterias rubens],Asterias rubens,282,282,51%,3e-82,40.80,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033638031.1?report=genbank&log$=prottop&blast_rank=26&RID=0AJ3GNUM013"",""XP_033638031.1"")"
guanylate cyclase soluble subunit beta-2-like [Branchiostoma floridae],Branchiostoma floridae,278,278,54%,4e-82,36.58,540,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694144.1?report=genbank&log$=prottop&blast_rank=27&RID=0AJ3GNUM013"",""XP_035694144.1"")"
SLC25A14 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,288,288,76%,7e-82,30.20,1010,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1244847.1?report=genbank&log$=prottop&blast_rank=28&RID=0AJ3GNUM013"",""CAH1244847.1"")"
