Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
guanylate cyclase soluble subunit alpha-2-like isoform X2 [Branchiostoma floridae],Branchiostoma floridae,512,512,88%,4e-169,44.27,816,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681740.1?report=genbank&log$=prottop&blast_rank=1&RID=0AJ8RRAE013"",""XP_035681740.1"")"
guanylate cyclase soluble subunit alpha-2-like isoform X1 [Branchiostoma floridae],Branchiostoma floridae,513,513,88%,2e-168,44.27,911,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681739.1?report=genbank&log$=prottop&blast_rank=2&RID=0AJ8RRAE013"",""XP_035681739.1"")"
GUCY1A2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,509,509,88%,4e-168,43.63,820,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267967.1?report=genbank&log$=prottop&blast_rank=3&RID=0AJ8RRAE013"",""CAH1267967.1"")"
GUCY1A2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,509,509,88%,7e-167,43.63,911,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267966.1?report=genbank&log$=prottop&blast_rank=4&RID=0AJ8RRAE013"",""CAH1267966.1"")"
guanylate cyclase soluble subunit alpha-2-like [Asterias rubens],Asterias rubens,474,474,86%,3e-156,43.38,694,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033632418.1?report=genbank&log$=prottop&blast_rank=5&RID=0AJ8RRAE013"",""XP_033632418.1"")"
hypothetical protein OCBIM_22013044mg [Octopus bimaculoides],Octopus bimaculoides,462,462,55%,1e-153,56.56,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOG01042.1?report=genbank&log$=prottop&blast_rank=6&RID=0AJ8RRAE013"",""KOG01042.1"")"
PREDICTED: guanylate cyclase soluble subunit alpha-2-like [Octopus bimaculoides],Octopus bimaculoides,461,461,55%,6e-152,56.56,624,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014771324.1?report=genbank&log$=prottop&blast_rank=7&RID=0AJ8RRAE013"",""XP_014771324.1"")"
guanylate cyclase soluble subunit alpha-2 isoform X2 [Ciona intestinalis],Ciona intestinalis,434,434,54%,7e-143,52.99,518,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691494.1?report=genbank&log$=prottop&blast_rank=8&RID=0AJ8RRAE013"",""XP_026691494.1"")"
guanylate cyclase soluble subunit alpha-2 isoform X1 [Ciona intestinalis],Ciona intestinalis,427,427,54%,4e-140,50.71,536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_026691493.1?report=genbank&log$=prottop&blast_rank=9&RID=0AJ8RRAE013"",""XP_026691493.1"")"
guanylate cyclase soluble subunit alpha-2-like [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,425,425,75%,9e-138,44.04,634,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030836089.1?report=genbank&log$=prottop&blast_rank=10&RID=0AJ8RRAE013"",""XP_030836089.1"")"
guanylate cyclase soluble subunit beta-1-like [Branchiostoma floridae],Branchiostoma floridae,306,306,75%,9e-92,34.72,674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681658.1?report=genbank&log$=prottop&blast_rank=11&RID=0AJ8RRAE013"",""XP_035681658.1"")"
GUCY1A2 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,303,303,75%,5e-90,34.62,751,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267965.1?report=genbank&log$=prottop&blast_rank=12&RID=0AJ8RRAE013"",""CAH1267965.1"")"
guanylate cyclase soluble subunit beta-1-like [Branchiostoma floridae],Branchiostoma floridae,295,295,71%,4e-88,36.05,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035681741.1?report=genbank&log$=prottop&blast_rank=13&RID=0AJ8RRAE013"",""XP_035681741.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,293,293,70%,1e-87,35.69,614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1267968.1?report=genbank&log$=prottop&blast_rank=14&RID=0AJ8RRAE013"",""CAH1267968.1"")"
guanylate cyclase soluble subunit beta-2 isoform X2 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,295,295,74%,9e-87,33.95,735,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030837424.1?report=genbank&log$=prottop&blast_rank=15&RID=0AJ8RRAE013"",""XP_030837424.1"")"
PREDICTED: guanylate cyclase soluble subunit beta-1-like [Octopus bimaculoides],Octopus bimaculoides,290,290,75%,4e-86,33.33,632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014783808.1?report=genbank&log$=prottop&blast_rank=16&RID=0AJ8RRAE013"",""XP_014783808.1"")"
guanylate cyclase soluble subunit beta-2-like isoform X3 [Asterias rubens],Asterias rubens,289,289,54%,3e-85,42.24,670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033638031.1?report=genbank&log$=prottop&blast_rank=17&RID=0AJ8RRAE013"",""XP_033638031.1"")"
PREDICTED: uncharacterized protein LOC100197914 [Hydra vulgaris],Hydra vulgaris,297,297,74%,2e-84,35.54,1228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012563239.1?report=genbank&log$=prottop&blast_rank=18&RID=0AJ8RRAE013"",""XP_012563239.1"")"
hypothetical protein OCBIM_22039505mg [Octopus bimaculoides],Octopus bimaculoides,281,281,52%,3e-84,38.81,480,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF72379.1?report=genbank&log$=prottop&blast_rank=19&RID=0AJ8RRAE013"",""KOF72379.1"")"
guanylate cyclase soluble subunit beta-2-like isoform X2 [Asterias rubens],Asterias rubens,289,289,54%,6e-84,42.24,806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033638030.1?report=genbank&log$=prottop&blast_rank=20&RID=0AJ8RRAE013"",""XP_033638030.1"")"
guanylate cyclase soluble subunit beta-2 isoform X1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,287,287,54%,1e-83,42.27,755,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_030837423.1?report=genbank&log$=prottop&blast_rank=21&RID=0AJ8RRAE013"",""XP_030837423.1"")"
guanylate cyclase soluble subunit beta-2-like isoform X1 [Asterias rubens],Asterias rubens,288,288,54%,2e-83,42.24,830,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033638028.1?report=genbank&log$=prottop&blast_rank=22&RID=0AJ8RRAE013"",""XP_033638028.1"")"
guanylate cyclase soluble subunit beta-2-like [Branchiostoma floridae],Branchiostoma floridae,277,277,56%,4e-82,38.19,540,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035694144.1?report=genbank&log$=prottop&blast_rank=23&RID=0AJ8RRAE013"",""XP_035694144.1"")"
PREDICTED: guanylate cyclase soluble subunit beta-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,276,276,53%,5e-82,40.74,529,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006824413.1?report=genbank&log$=prottop&blast_rank=24&RID=0AJ8RRAE013"",""XP_006824413.1"")"
PREDICTED: guanylate cyclase soluble subunit beta-2-like [Saccoglossus kowalevskii],Saccoglossus kowalevskii,278,278,72%,5e-80,33.76,786,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002737042.1?report=genbank&log$=prottop&blast_rank=25&RID=0AJ8RRAE013"",""XP_002737042.1"")"
guanylate cyclase soluble subunit beta-1-like [Asterias rubens],Asterias rubens,273,273,72%,5e-80,35.18,605,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033632257.1?report=genbank&log$=prottop&blast_rank=26&RID=0AJ8RRAE013"",""XP_033632257.1"")"
guanylate cyclase soluble subunit beta-2-like [Asterias rubens],Asterias rubens,277,277,62%,1e-79,36.90,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033641505.1?report=genbank&log$=prottop&blast_rank=27&RID=0AJ8RRAE013"",""XP_033641505.1"")"
GUCY1B3 [Branchiostoma lanceolatum],Branchiostoma lanceolatum,277,277,56%,1e-79,37.94,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1244445.1?report=genbank&log$=prottop&blast_rank=28&RID=0AJ8RRAE013"",""CAH1244445.1"")"
Soluble guanylate cyclase gcy-35 [Caenorhabditis elegans],Caenorhabditis elegans,272,272,79%,9e-79,31.66,688,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001252131.1?report=genbank&log$=prottop&blast_rank=29&RID=0AJ8RRAE013"",""NP_001252131.1"")"
guanylate cyclase soluble subunit beta-1 [Strongylocentrotus purpuratus],Strongylocentrotus purpuratus,269,269,70%,2e-78,35.32,604,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_786686.3?report=genbank&log$=prottop&blast_rank=30&RID=0AJ8RRAE013"",""XP_786686.3"")"
PREDICTED: guanylate cyclase soluble subunit beta-1-like [Hydra vulgaris],Hydra vulgaris,272,272,68%,3e-78,34.99,749,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012553640.1?report=genbank&log$=prottop&blast_rank=31&RID=0AJ8RRAE013"",""XP_012553640.1"")"
