Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
cyclin-dependent kinase inhibitor 1B-like [Branchiostoma floridae],Branchiostoma floridae,65.9,65.9,42%,2e-11,42.62,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035662126.1?report=genbank&log$=prottop&blast_rank=1&RID=0CWXWFVW013"",""XP_035662126.1"")"
cyclin-dependent kinase inhibitor 1-like isoform X2 [Acropora millepora],Acropora millepora,64.7,64.7,84%,5e-11,32.85,200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029194460.1?report=genbank&log$=prottop&blast_rank=2&RID=0CWXWFVW013"",""XP_029194460.1"")"
cyclin-dependent kinase inhibitor 1-like isoform X1 [Acropora millepora],Acropora millepora,64.7,64.7,84%,5e-11,32.85,207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029194457.1?report=genbank&log$=prottop&blast_rank=3&RID=0CWXWFVW013"",""XP_029194457.1"")"
cyclin dependent kinase inhibitor 1C-like protein [Saccoglossus kowalevskii],Saccoglossus kowalevskii,64.7,64.7,41%,5e-11,47.46,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NP_001161523.1?report=genbank&log$=prottop&blast_rank=4&RID=0CWXWFVW013"",""NP_001161523.1"")"
PREDICTED: cyclin dependent kinase inhibitor 1C-like protein isoform X1 [Saccoglossus kowalevskii],Saccoglossus kowalevskii,64.7,64.7,41%,6e-11,47.46,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006818462.1?report=genbank&log$=prottop&blast_rank=5&RID=0CWXWFVW013"",""XP_006818462.1"")"
CDKN1B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,63.9,63.9,47%,8e-11,44.12,199,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1255551.1?report=genbank&log$=prottop&blast_rank=6&RID=0CWXWFVW013"",""CAH1255551.1"")"
CDKN1B [Branchiostoma lanceolatum],Branchiostoma lanceolatum,64.3,64.3,42%,1e-10,40.98,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1250670.1?report=genbank&log$=prottop&blast_rank=7&RID=0CWXWFVW013"",""CAH1250670.1"")"
PREDICTED: cyclin-dependent kinase inhibitor 1B-like [Priapulus caudatus],Priapulus caudatus,58.9,58.9,57%,6e-09,34.15,196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014681711.1?report=genbank&log$=prottop&blast_rank=8&RID=0CWXWFVW013"",""XP_014681711.1"")"
uncharacterized protein LOC114951776 [Acropora millepora],Acropora millepora,57.0,57.0,57%,3e-08,34.41,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029183742.2?report=genbank&log$=prottop&blast_rank=9&RID=0CWXWFVW013"",""XP_029183742.2"")"
PREDICTED: cyclin-dependent kinase inhibitor 1-like [Priapulus caudatus],Priapulus caudatus,53.5,53.5,35%,7e-07,44.00,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014663915.1?report=genbank&log$=prottop&blast_rank=10&RID=0CWXWFVW013"",""XP_014663915.1"")"
PREDICTED: cyclin-dependent kinase inhibitor 1B-like [Hydra vulgaris],Hydra vulgaris,50.8,50.8,52%,2e-06,37.84,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012556135.1?report=genbank&log$=prottop&blast_rank=11&RID=0CWXWFVW013"",""XP_012556135.1"")"
hypothetical protein OCBIM_22012758mg [Octopus bimaculoides],Octopus bimaculoides,45.1,45.1,23%,0.001,55.88,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOF99683.1?report=genbank&log$=prottop&blast_rank=12&RID=0CWXWFVW013"",""KOF99683.1"")"



		


